DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P6016,P6020,P6030S1,P6030S3,P6040,P6050,P6080,P6080S1,P6070,P6081,P6081S1,P6083,P6083S1,P6071,P6071S1,P3147S1,P3147S2,P3147S3,P3147S4,P3147S5,P3147S6,P3147S7,P3147S8,P3147S9,P3147S10,P3147S11,P3147S10A1,P3246,P6090,P6140,P6150,P6100,P6110,P6120,P6125,P6160,P6170,P6175,P6210,P6210S1,P6220,P6269,CLASE,ESC,MES,DPTO,fex_c_2011
5352538,1,8,1,10,4,2,9,2016,4,3,1,720_01,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,2,0,01,44,1932.3200277
5352538,1,9,1,10,4,1,6,2020,0,3,1,720_01,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,2,,01,44,1932.3200277
5352539,1,1,1,10,1,1,10,1957,63,1,1,720_01,5,3,,3,,,,,,,,,,,,,,1,,2,1,,,3,,,2,1,2,,3,4,,,2,4,01,44,1280.5059104
5352540,1,1,1,10,1,1,3,2001,19,1,1,720_01,2,2,,2,,1,2,,,,,,,,1,,,,,2,1,,,3,,,2,1,1,1,4,0,,,2,5,01,44,1865.1014587
5352540,1,2,1,10,2,2,4,2004,16,2,1,720_01,2,2,,2,,1,1,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,3,4,,,2,4,01,44,1865.1014587
5352540,1,3,1,10,2,1,7,2006,14,9,1,720_01,6,2,,2,,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,7,,,2,7,01,44,1865.1014587
5352541,1,1,1,10,1,2,3,1980,40,1,1,720_01,4,3,,3,,,,,,,,,,,,,,1,,2,1,,,3,,,2,2,2,,1,0,,,2,0,01,44,1696.0116838
5352541,1,2,1,10,2,1,5,2006,14,3,1,720_01,6,2,,1,1,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,3,4,,,2,4,01,44,1696.0116838
5352541,1,3,1,10,1,1,12,2020,0,3,1,720_01,,2,,1,1,,,,,,,,,,,,,,,,2,2,,,,,2,,,,,,,,2,,01,44,1696.0116838
5352552,1,1,1,10,1,1,3,1992,28,1,6,,3,2,,2,,1,2,,,,,,,,,,,1,,2,1,,,1,1,35200,2,1,2,,5,11,2,,2,11,01,15,3741.0952795
