DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,CLASE,P6290,P6290S1,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,MES,DPTO,fex_c_2011
5332899,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,01,05,1268.8283798
5332899,1,2,1,50,05,1,,,1,1,,,,,,,,,,,,,,01,05,1268.8283798
5332900,1,1,1,50,05,1,,,1,4,,2,2,2,2,2,,,,,,,,01,05,1278.4535833
5332900,1,2,1,50,05,1,,,2,1,,,,,,,,,,,,,,01,05,1278.4535833
5332908,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,01,05,1831.4487483
5332908,1,2,1,50,05,1,,,2,4,,2,2,2,2,1,5,,1,1,,2,1,01,05,1831.4487483
5332908,1,5,1,50,05,1,,,5,4,,2,2,2,2,1,8,,1,1,,2,1,01,05,1831.4487483
5332908,1,6,1,50,05,1,7,ENVIAR HOJAS DE VIDA POR PLATAFORMAS DE EMPLEO INTERNET,6,2,,2,2,2,1,,,,,,,,1,01,05,1831.4487483
5332909,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,01,05,1268.8283798
5332909,1,2,1,50,05,1,,,2,1,,,,,,,,,,,,,,01,05,1268.8283798
5332910,1,1,1,50,05,1,,,1,1,,,,,,,,,,,,,,01,05,1459.6794663
5332911,1,1,1,50,05,1,,,1,4,,1,,,,,,,,,,,,01,05,1106.3585798
5332911,1,2,1,50,05,1,,,2,6,VER TELEVISION,2,2,2,2,2,,,,,,,,01,05,1106.3585798
5332911,1,3,1,50,05,1,,,3,3,,2,2,2,2,2,,,,,,,,01,05,1106.3585798
5332912,1,1,1,50,05,1,,,1,6,VER TELEVISION,2,2,2,2,2,,,,,,,,01,05,1271.4405335
