DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480S1,P7480S1A1,P7480S3,P7480S3A1,P7480S4,P7480S4A1,P7480S5,P7480S5A1,P7480S6,P7480S6A1,P7480S7,P7480S7A1,P7480S8,P7480S8A1,P7480S9,P7480S9A1,P7480S10,P7480S10A1,P7480S11,P7480S11A1,CLASE,MES,DPTO,fex_c_2011
5373414,1,3,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,817.01869266
5373442,1,1,1,90,1,1,1,2,2,,1,5,2,,2,,2,,2,,2,,2,,2,02,18,1085.8667023
5373442,1,2,1,90,2,,1,15,2,,1,21,1,14,2,,2,,2,,2,,2,,2,02,18,1085.8667023
5373443,1,1,1,90,2,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,464.89732059
5373445,1,1,1,90,1,5,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,289.96113428
5373445,1,2,1,90,1,7,1,16,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,289.96113428
5373445,1,3,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,289.96113428
5373445,1,4,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,289.96113428
5373445,1,5,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,289.96113428
5373445,1,6,1,90,2,,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,289.96113428
5373446,1,1,1,90,2,,1,18,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,739.93761539
5373446,1,2,1,90,2,,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,739.93761539
5373447,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,416.20775023
5373447,1,2,1,90,2,,1,22,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,416.20775023
5373447,1,3,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,416.20775023
5373448,1,1,1,90,2,,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,361.31871563
5373448,1,2,1,90,2,,1,19,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,361.31871563
5373449,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,1016.5940833
5373449,1,2,1,90,2,,1,15,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,1016.5940833
5373449,1,3,1,90,2,,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,1016.5940833
5373449,1,6,1,90,2,,1,16,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,1016.5940833
5373450,1,1,1,90,2,,1,26,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,1085.8667023
5373450,1,2,1,90,2,,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,1085.8667023
5373451,1,1,1,90,2,,1,30,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,638.45416848
5373451,1,2,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,638.45416848
5373451,1,3,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,638.45416848
5373451,1,4,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,638.45416848
5373452,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,271.46667558
5373452,1,2,1,90,2,,1,29,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,271.46667558
5373452,1,3,1,90,2,,1,8,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,271.46667558
5373452,1,4,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,271.46667558
5373453,1,1,1,90,2,,1,18,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,473.02329306
5373453,1,2,1,90,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,473.02329306
5373454,1,1,1,90,1,5,1,8,2,,1,14,2,,2,,2,,2,,2,,2,,2,02,18,408.56076273
5373454,1,2,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,408.56076273
5373455,1,1,1,90,2,,1,5,2,,1,8,2,,2,,2,,2,,2,,2,,2,02,18,820.06880401
5373455,1,2,1,90,2,,1,14,2,,1,25,2,,2,,2,,2,,2,,2,,2,02,18,820.06880401
5373456,1,1,1,90,2,,1,14,2,,1,21,2,,2,,2,,2,,2,,2,,2,02,18,463.44979733
5373456,1,2,1,90,2,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,463.44979733
5373456,1,3,1,90,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,463.44979733
5373457,1,1,1,90,1,8,1,14,2,,2,,2,,2,,2,,2,,2,,2,,2,02,18,340.0982279
5373457,1,2,1,90,1,14,1,21,2,,2,,1,21,2,,2,,2,,2,,2,,2,02,18,340.0982279
5376306,1,1,1,90,2,,1,40,2,,1,8,2,,2,,2,,2,,2,,2,,2,02,44,704.62524264
5376306,1,2,1,90,2,,1,15,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,704.62524264
5376306,1,3,1,90,2,,1,20,2,,1,10,2,,2,,2,,2,,2,,2,,2,02,44,704.62524264
5376307,1,1,1,90,2,,1,11,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1061.9243728
5376308,1,1,1,90,2,,1,40,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,916.22938036
5376308,1,2,1,90,2,,1,30,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,916.22938036
5376309,1,1,1,90,2,,1,30,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1054.2424643
5376309,1,2,1,90,2,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1054.2424643
5376310,1,1,1,90,2,,1,20,2,,1,12,2,,2,,2,,2,,2,,2,,2,02,44,1467.424525
5376310,1,2,1,90,2,,1,12,2,,1,8,2,,2,,2,,2,,2,,2,,2,02,44,1467.424525
5376310,1,3,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1467.424525
5376311,1,1,1,90,2,,1,20,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1016.6163046
5376311,1,2,1,90,2,,1,20,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1016.6163046
5376311,1,3,1,90,2,,1,10,2,,1,10,2,,2,,2,,2,,2,,2,,2,02,44,1016.6163046
5376312,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,916.22938036
5376312,1,2,1,90,2,,1,30,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,916.22938036
5376313,1,1,1,90,2,,1,11,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,749.25393965
5376313,1,2,1,90,2,,1,24,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,749.25393965
5376314,1,1,1,90,1,4,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,916.22938036
5376314,1,2,1,90,2,,1,20,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,916.22938036
5376315,1,1,1,90,2,,1,11,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,887.26702363
5376315,1,2,1,90,2,,1,18,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,887.26702363
5376316,1,1,1,90,2,,1,9,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,988.66724001
5376316,1,2,1,90,2,,1,26,2,,1,14,2,,2,,2,,2,,2,,2,,2,02,44,988.66724001
5376316,1,3,1,90,2,,1,16,2,,1,14,2,,2,,2,,2,,2,,2,,2,02,44,988.66724001
5376317,1,1,1,90,2,,1,16,2,,2,,1,29,2,,2,,2,,2,,2,,2,02,44,624.50547453
5376317,1,2,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,624.50547453
5376317,1,3,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,624.50547453
5376321,1,1,1,90,2,,1,28,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1167.334746
5376321,1,2,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1167.334746
