DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7430,P7450,P7450S1,P7452,P7454,P7456,P7458,P7458S1,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921,INI,MES,p7440,DPTO,fex_c_2011
5418594,1,1,1,80,52,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,52,99.160731575
5418594,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,04,,52,99.160731575
5418594,1,5,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,04,,52,99.160731575
5418595,1,3,1,80,52,1,4,,2,,,8,,2,,2,,,,,2,1,04,4,52,155.1316868
5418596,1,1,1,80,52,1,4,,2,,,4,,2,,2,,1,24,98,2,1,04,2,52,171.39376105
5418598,1,2,1,80,52,1,6,,2,,,8,,2,,2,,,,,2,1,04,4,52,165.08698094
5418599,1,1,1,80,52,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,52,342.78752209
5418600,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,04,4,52,203.42545785
5418600,1,2,1,80,52,1,7,,2,,,4,,2,,2,,,,,2,1,04,4,52,203.42545785
5418602,1,2,1,80,52,1,8,,2,,,2,,2,,2,,,,,2,1,04,1.3,52,532.04431688
5418605,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,04,,52,203.43605391
5418606,1,1,1,80,52,1,4,,2,,,8,,2,,2,,,,,2,1,04,4,52,151.23403
5418606,1,2,1,80,52,1,5,,2,,,10,,3,,2,,,,,3,1,04,4,52,151.23403
5418607,1,2,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,04,4,52,135.2613894
5418607,1,5,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,04,,52,135.2613894
5418611,1,1,1,80,52,1,5,,2,,,10,,3,,2,,,,,3,1,04,4,52,181.37379981
5418611,1,2,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,04,4,52,181.37379981
5418612,1,1,1,80,52,1,5,,2,,,10,,3,,2,,,,,3,1,04,4,52,211.77360367
5418612,1,2,1,80,52,1,5,,2,,,10,,3,,2,,,,,3,1,04,4,52,211.77360367
5418613,1,2,1,80,52,1,9,PANDEMIA COVID 19,2,,,9,,1,,2,,1,24,500000,2,1,04,2,52,273.93092173
5418615,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,04,4,52,199.53839712
5418617,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,04,,52,257.49198144
5418618,1,2,1,80,54,1,5,,2,,,10,,3,,2,,,,,3,1,04,4,54,349.78149967
5418619,1,1,1,80,54,1,7,,2,,,8,,2,,2,,1,48,908000,2,1,04,4,54,360.20811298
5418619,1,2,1,80,54,1,8,,2,,,9,,1,,2,,,,,2,1,04,4,54,360.20811298
5418619,1,5,1,80,54,2,,,,2,,,.,2,,2,,,,,2,1,04,,54,360.20811298
5418619,1,6,1,80,54,2,,,,2,,,.,,,2,,,,,,1,04,,54,360.20811298
5418620,1,1,1,80,54,1,4,,2,,,4,,3,,2,,,,,3,1,04,4,54,354.76548683
5418620,1,2,1,80,54,2,,,,2,,,.,2,,2,,,,,2,1,04,,54,354.76548683
5418621,1,3,1,80,54,1,7,,2,,,4,,2,,2,,,,,2,1,04,4,54,266.47088319
5418621,1,4,1,80,54,2,,,,2,,,.,2,,2,,,,,2,1,04,,54,266.47088319
5418623,1,1,1,80,54,2,,,,2,,,.,2,,2,,,,,2,1,04,,54,342.34634636
5418623,1,3,1,80,54,1,9,POR PANDEMIA,2,,,12,POR PANDEMIA,2,,2,,1,48,600000,2,1,04,2,54,342.34634636
5418624,1,2,1,80,54,2,,,,2,,,.,2,,2,,,,,2,1,04,,54,388.64464985
5418625,1,2,1,80,54,2,,,,2,,,.,,,2,,,,,,1,04,,54,647.27738316
5418625,1,4,1,80,54,2,,,,2,,,.,2,,2,,2,,600000,2,1,04,,54,647.27738316
5418626,1,2,1,80,54,1,8,,2,,,1,,2,,2,,,,,2,1,04,1.1,54,358.14412621
5418626,1,3,1,80,54,1,6,,2,,,1,,2,,2,,2,,500000,2,1,04,1.1,54,358.14412621
5418626,1,5,1,80,54,1,2,,2,,,2,,2,,2,,,,,2,1,04,1.1,54,358.14412621
5418627,1,1,1,80,54,1,3,,2,,,8,,2,,2,,,,,2,1,04,4,54,270.61735062
5418629,1,2,1,80,54,1,4,,2,,,4,,2,,2,,,,,2,1,04,3,54,389.26398319
5418629,1,5,1,80,54,2,,,,2,,,.,2,,2,,,,,2,1,04,,54,389.26398319
5418629,1,6,1,80,54,2,,,,2,,,.,,,2,,,,,,1,04,,54,389.26398319
5418630,1,2,1,80,54,1,5,,2,,,10,,3,,2,,2,,500000,3,1,04,3,54,341.15560913
5418631,1,2,1,80,54,2,,,,1,2,8,,2,,2,,1,40,600000,2,1,04,,54,547.54897162
5418631,1,3,1,80,54,2,,,,2,,,.,,,2,,,,,,1,04,,54,547.54897162
5418632,1,2,1,80,54,1,3,,2,,,9,,2,,2,,,,,2,1,04,2,54,341.15560913
5418632,1,3,1,80,54,2,,,,2,,,.,2,,2,,,,,2,1,04,,54,341.15560913
5418633,1,2,1,80,54,2,,,,2,,,.,2,,2,,,,,2,1,04,,54,489.04233642
5418635,1,1,1,80,54,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,54,229.38887852
5418635,1,4,1,80,54,1,3,,2,,,9,,2,,2,,,,,2,1,04,3,54,229.38887852
5418635,1,6,1,80,54,1,3,,2,,,9,,2,,2,,,,,2,1,04,3,54,229.38887852
5418638,1,2,1,80,54,1,9,POR PANDEMIA,2,,,12,POR PANDEMIA,2,,2,,2,,1000000,2,1,04,2,54,355.18839601
5418638,1,3,1,80,54,1,9,POR PANDEMIA,2,,,12,POR PANDEMIA,2,,2,,2,,900000,2,1,04,2,54,355.18839601
5418639,1,2,1,80,54,2,,,,2,,,.,2,,2,,,,,2,1,04,,54,346.17532611
5418639,1,3,1,80,54,2,,,,2,,,.,,,2,,,,,,1,04,,54,346.17532611
5418639,1,4,1,80,54,1,4,,2,,,4,,2,,2,,,,,2,1,04,2,54,346.17532611
5418641,1,1,1,80,54,1,4,,2,,,4,,2,,2,,,,,2,1,04,1.4,54,330.76472563
5418642,1,2,1,80,54,1,8,,2,,,9,,2,,2,,,,,2,1,04,4,54,476.9749833
5418642,1,3,1,80,54,2,,,,2,,,.,,,2,,,,,,1,04,,54,476.9749833
