DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,RAMA2D_D_R4,OFICIO1,OFICIO2,DSI,DSCY,MES,RAMA4D_D_R4,DPTO,fex_c_2011
5392722,1,1,1,70,18,1,3,48,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,45,,1,1,03,.,18,97.404787345
5392728,1,2,1,70,18,1,52,48,1,,2,52,1,,9,2,1,,,,,,,,,,,1,2,,960000,2,,81,55,55,1,2,03,8121,18,89.805480339
5392734,1,1,1,70,18,1,8,48,1,,2,42,1,,3,2,2,,,,,,,,,,,1,2,,900000,2,,47,55,45,1,1,03,4772,18,94.566994047
5392736,1,2,1,70,18,1,2,25,1,,2,45,1,,2,2,1,,,,,,,,,,,1,2,,600000,2,,47,39,45,1,1,03,4772,18,49.481409721
5392739,1,1,1,70,18,1,5,40,1,,2,90,1,,4,2,2,,,,,,,,,,,1,2,,1500000,2,,94,19,19,1,1,03,9499,18,76.953936621
5392742,1,3,1,70,18,1,1,48,1,,2,2,3,,1,2,4,,,,,,,,,,,1,1,500000,800000,2,,97,45,54,1,1,03,9700,18,49.481409721
5392757,1,1,1,70,19,1,52,45,3,,2,52,3,,1,2,1,,,,,,,,,,,1,2,,600000,2,,97,54,54,1,2,03,9700,19,102.11560561
5392759,1,1,1,70,19,1,2,45,3,,2,2,1,,2,2,1,,,,,,,,,,,1,2,,900000,2,,10,54,33,1,1,03,1081,19,116.99842107
5392762,1,2,1,70,19,1,24,45,1,,2,24,1,,4,2,1,,,,,,,,,,,1,2,,800000,2,,41,95,95,1,2,03,4111,19,136.19228003
5392764,1,1,1,70,19,1,12,45,1,,2,52,3,,1,2,1,,,,,,,,,,,1,2,,980000,2,,97,53,54,1,1,03,9700,19,120.202337
5392774,1,3,1,70,27,1,6,40,1,,1,,,,,,,,.,,,,,,,,.,,,,2000000,,,,11,,1,1,03,.,27,103.17837115
5392776,1,1,1,70,27,1,4,48,1,,2,5,1,,3,2,1,,,,,,,,,,,1,2,,2500000,2,,84,02,02,1,1,03,8412,27,33.516679033
5392786,1,2,1,70,27,1,75,40,2,,2,100,1,,8,2,1,,,,,,,,,,,1,2,,1014000,2,,49,13,33,1,2,03,4921,27,33.516679033
5392789,1,1,1,70,27,1,18,40,2,,2,25,4,,1,2,1,,,,,,,,,,,1,2,,1014000,2,,47,13,41,1,2,03,4711,27,33.516679033
5392792,1,1,1,70,27,1,100,40,2,,1,,,,,,,,.,,,,,,,,.,,,,1300000,,,,39,,1,2,03,.,27,157.52839145
5392800,1,2,1,70,27,1,12,48,4,,2,12,4,,2,2,1,,,,,,,,,,,1,2,,900000,2,,41,95,95,1,1,03,4111,27,33.516679033
5392803,1,2,1,70,27,1,4,48,5,,2,4,5,,2,2,1,,,,,,,,,,,1,2,,800000,2,,41,95,95,1,1,03,4112,27,33.516679033
5392803,1,3,1,70,27,1,52,40,1,,1,,,,,,,,.,,,,,,,,.,,,,1200000,,,,11,,1,2,03,.,27,33.516679033
5392804,1,2,1,70,27,1,16,66,4,,2,16,4,,2,2,1,,,,,,,,,,,1,2,,1200000,2,,50,98,98,1,2,03,5021,27,33.516679033
5392809,1,1,1,70,27,1,52,55,4,,2,52,4,,1,2,1,,,,,,,,,,,1,2,,700000,2,,01,95,61,1,2,03,0122,27,33.516679033
5392809,1,3,1,70,27,1,16,48,1,,2,16,1,,3,2,1,,,,,,,,,,,1,2,,2000000,2,,46,33,33,1,2,03,4631,27,33.516679033
5392812,1,1,1,70,27,1,2,40,1,,2,9,1,,9,2,1,,,,,,,,,,,1,2,,1200000,2,,85,13,13,1,1,03,8513,27,33.516679033
5392818,1,1,1,70,27,1,4,40,2,,2,8,2,,9,2,1,,,,,,,,,,,1,2,,1200000,2,,84,12,12,1,1,03,8415,27,33.516679033
5392819,1,4,1,70,27,1,254,48,1,,2,300,1,,6,2,1,,,,,,,,,,,1,2,,1500000,2,,80,58,58,1,2,03,8010,27,33.516679033
5392823,1,1,1,70,27,1,20,48,1,,2,28,1,,7,2,1,,,,,,,,,,,1,2,,1500000,2,,94,13,13,1,2,03,9499,27,33.516679033
5392828,1,1,1,70,27,1,45,40,1,,2,34,1,,8,2,1,,,,,,,,,,,1,2,,1000000,2,,85,05,13,1,2,03,8521,27,33.516679033
5392835,1,1,1,70,41,1,3,45,1,,2,5,1,,4,2,2,,,,,,,,,,,1,2,,1200000,2,,42,97,97,1,1,03,4210,41,149.29555742
5392836,1,1,1,70,41,1,48,48,1,,2,48,4,,9,2,1,,,,,,,,,,,1,2,,908000,2,,84,32,32,1,2,03,8412,41,425.53703489
5392837,1,3,1,70,41,1,12,48,1,,2,12,2,,9,2,8,,,,,,,,,,,1,2,,908500,2,,86,59,59,1,1,03,8621,41,422.16292806
5392841,1,1,1,70,41,1,20,40,1,,2,20,1,,9,2,1,,,,,,,,,,,1,2,,900000,2,,85,21,32,1,2,03,8530,41,209.85649633
5392854,1,3,1,70,50,1,4,4,1,,2,4,4,,4,2,1,,,1,,,,,,,,,1,2000000,2500000,1,1,86,19,19,1,1,03,8621,50,319.77856982
5392867,1,3,1,70,50,1,52,48,1,,2,52,1,,5,2,1,,,,,,,,,,,1,2,,800000,2,,81,03,59,1,2,03,8129,50,237.60451118
5392869,1,2,1,70,50,1,16,48,1,,2,8,1,,2,2,1,,,,,,,,,,,1,2,,900000,2,,56,45,53,1,2,03,5630,50,325.52574913
