DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,RAMA2D_D_R4,OFICIO1,OFICIO2,DSI,DSCY,MES,RAMA4D_D_R4,DPTO,fex_c_2011
5411567,2,2,2,70,2,12,48,4,,2,60,1,,7,2,8,,,,,,,,,,,1,2,,500000,2,,01,55,53,1,1,03,0141,68,7181.872039
5411645,1,2,1,70,2,8,40,3,,2,104,3,,1,2,4,,,,,,,,,,,1,2,,908526,2,,97,54,54,1,1,03,9700,73,2566.3942208
5411662,1,3,1,70,2,12,48,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,34,,1,1,03,.,73,2693.002127
5411685,1,1,1,70,2,56,48,1,,2,112,1,,5,2,1,,,,,,,,,,,1,2,,908600,2,,01,55,62,1,2,03,0145,73,2138.4717951
5411685,1,2,1,70,2,24,48,1,,2,5,4,,1,2,1,,,,,,,,,,,1,1,600000,900000,2,,45,98,99,1,2,03,4520,73,2138.4717951
5411750,1,3,1,70,2,52,48,1,,1,,,,,,,,.,,,,,,,,.,,,,908526,,,,62,,1,2,03,.,44,1919.8843925
5411751,1,2,1,70,2,40,60,4,,2,56,4,,2,2,1,,,,,,,,,,,1,2,,200000,2,,47,45,45,1,2,03,4724,44,954.6483164
5411754,1,3,1,70,2,5,50,4,,2,28,4,,1,2,1,,,,,,,,,,,1,2,,200000,2,,56,45,45,1,1,03,5619,44,2153.5939368
5411757,1,2,1,70,2,2,50,1,,2,2,1,,6,2,8,,,,,,,,,,,1,1,400000,908000,2,,82,54,97,1,1,03,8292,05,1339.2726251
5411759,1,2,1,70,2,16,48,1,,2,260,1,,6,2,1,,,,,,,,,,,1,1,80000,908500,2,,14,55,79,1,2,03,1410,05,1541.0597652
5411760,1,3,1,70,2,20,72,1,,1,,,,,,,,.,,,,,,,,.,,,,908000,,,,58,,1,2,03,.,05,1204.922696
5411769,1,2,1,70,2,8,50,1,,2,3,8,,4,2,1,,,,,,,,,,,1,1,360000,1000000,2,,01,39,62,1,1,03,0113,05,833.83811614
5411769,1,3,1,70,2,8,55,1,,2,2,8,,2,2,1,,,,,,,,,,,1,1,300000,1000000,2,,01,98,62,1,1,03,0113,05,833.83811614
5411773,1,2,1,70,2,52,48,1,,2,100,1,,2,2,2,,,,,,,,,,,1,2,,908000,2,,56,45,53,1,2,03,5619,05,1396.8165313
5411779,1,1,1,70,2,20,48,1,,2,20,1,,9,2,4,,,,,,,,,,,1,2,,1200000,2,,61,39,39,1,2,03,6120,05,1339.2726251
5411793,1,2,1,70,2,48,25,3,,2,52,1,,5,2,1,,,,,,,,,,,1,2,,300000,2,,36,54,55,1,2,03,3600,05,3551.3076165
5411798,1,1,1,70,2,52,48,4,,2,54,4,,1,2,1,,,,,,,,,1,YA ES PENSIONADO,,2,,2500000,3,,70,19,19,1,2,03,7020,05,1531.6497868
5411902,1,4,1,70,2,4,56,3,,2,4,3,,1,2,1,,,,,,,,,1,BUSCAR TRABAJO,,1,800000,908526,2,,97,54,54,1,1,03,9700,13,4847.0571356
5411912,1,2,1,70,2,12,48,1,,1,,,,,,,,.,,,,,,,,.,,,,908526,,,,03,,1,1,03,.,13,3128.6999783
5411916,1,4,1,70,2,8,48,1,,1,,,,,,,,.,,,,,,,,.,,,,908526,,,,97,,1,1,03,.,13,2965.5876301
5411918,1,3,1,70,2,12,35,1,,1,,,,,,,,.,,,,,,,,.,,,,908526,,,,33,,1,1,03,.,13,3248.5164413
5411925,1,3,1,70,2,24,48,1,,1,,,,,,,,.,,,,,,,,.,,,,1200000,,,,05,,1,2,03,.,13,2965.5876301
5411928,1,3,1,70,2,16,40,1,,1,,,,,,,,.,,,,,,,,.,,,,908526,,,,39,,1,2,03,.,13,1832.1934474
5412027,1,3,1,70,2,10,48,3,,2,23,3,,1,2,1,,,,,,,,,,,1,2,,200000,2,,97,54,54,1,1,03,9700,13,2569.887723
5412052,1,2,1,70,2,26,48,1,,2,50,3,,2,2,4,,,,,,,,,,,1,2,,908526,2,,97,59,59,1,2,03,9700,13,3871.3300416
5412143,1,2,1,70,2,4,36,4,,2,4,4,,1,2,1,,,,,,,,,,,1,2,,700000,2,,01,62,62,1,1,03,0161,15,610.61443389
5412176,1,1,1,70,2,52,40,1,,2,52,4,,1,2,1,,,,,,,,,,,1,2,,400000,2,,01,53,62,1,2,03,0161,15,610.61443389
5412176,1,2,1,70,2,4,40,1,,2,4,4,,1,2,1,,,,,,,,,,,1,1,100000,400000,2,,01,95,62,1,1,03,0161,15,610.61443389
5412179,1,1,1,70,2,8,48,1,,2,8,1,,3,2,1,,,,,,,,,,,1,2,,900000,2,,41,95,95,1,1,03,4111,15,1100.0719911
5412180,1,1,1,70,2,16,40,1,,2,16,1,,7,2,8,,,,,,,,,,,1,2,,1000000,2,,49,98,39,1,2,03,4923,15,1100.0719911
5412212,1,3,1,70,2,6,48,1,,2,6,1,,3,2,1,,,,,,,,,,,1,2,,900000,2,,47,39,45,1,1,03,4723,68,1029.1009699
5412243,1,2,1,70,2,8,48,1,,1,,,,,,,,.,,,,,,,,.,,,,1000000,,,,84,,1,1,03,.,68,1029.1009699
5412246,1,3,1,70,2,180,48,1,,1,,,,,,,,.,,,,,,,,.,,,,1000000,,,,84,,1,2,03,.,68,3456.3525568
5412256,1,2,1,70,2,5,40,2,,1,,,,,,,,.,,,,,,,,.,,,,2000000,,,,21,,1,1,03,.,68,1029.1009699
5412327,1,1,1,70,2,7,24,1,,2,8,3,,1,2,1,,,,,,,,,,,1,2,,550000,2,,97,53,54,1,1,03,9700,17,3138.7246569
5412327,1,2,1,70,2,6,48,1,,2,6,1,,3,2,1,,,,,,,,,,,1,1,900000,908526,2,,41,95,95,1,1,03,4111,17,3138.7246569
5412331,1,1,1,70,2,52,40,1,,2,520,1,,3,2,1,,,,,,,,,,,1,2,,908526,2,,56,53,53,1,2,03,5611,17,3368.871412
5412331,1,3,1,70,2,8,48,1,,1,,,,,,,,.,,,,,,,,.,,,,908526,,,,53,,1,1,03,.,17,3368.871412
5412332,1,1,1,70,2,10,48,1,,2,4,1,,2,2,1,,,,,,,,,,,1,1,50000,450000,2,,56,53,53,1,1,03,5611,17,2915.3443401
5412337,1,5,1,70,2,12,48,1,,2,106,4,,1,2,4,,,,,,,,,,,1,2,,908526,2,,81,55,55,1,1,03,8121,17,1363.715382
5412364,1,1,1,70,2,20,24,1,,2,5,1,,2,2,1,,,,,,,,,,,1,2,,600000,2,,56,53,53,1,2,03,5611,17,2915.3443401
5412368,1,1,1,70,2,16,48,1,,2,22,1,,9,2,2,,,,,,,,,,,1,2,,908526,2,,80,58,58,1,2,03,8010,17,2575.3344865
5412392,1,3,1,70,2,12,48,3,,2,12,3,,1,2,2,,,,,,,,,,,1,2,,908526,2,,97,54,54,1,1,03,9700,17,2319.9430443
5412398,1,2,1,70,2,2,48,1,,2,2,7,,2,2,6,,,,,,,,,,,1,2,,908526,2,,56,53,53,1,1,03,5629,17,2599.4980212
5412418,1,1,1,70,2,4,24,3,,2,60,3,,1,2,2,,,,,,,,,,,1,2,,200000,2,,97,54,54,1,1,03,9700,17,657.36846675
5412418,1,4,1,70,2,12,48,1,,2,50,1,,3,2,1,,,,,,,,,,,1,2,,1000000,2,,56,19,53,1,1,03,5611,17,657.36846675
5412418,1,7,1,70,2,12,48,1,,2,160,1,,5,2,1,,,,,,,,,,,1,2,,1200000,2,,85,13,13,1,1,03,8530,17,657.36846675
5412421,1,4,1,70,2,12,48,1,,1,,,,,,,,.,,,,,,,,.,,,,908526,,,,13,,1,1,03,.,17,596.73307693
5412422,1,3,1,70,2,52,48,1,,2,52,1,,9,2,1,,,,,,,,,,,1,2,,1500000,2,,24,21,21,1,2,03,2410,17,596.73307693
5415221,1,1,1,70,2,4,40,8,,2,4,4,,1,2,1,,,,,,,,,,,1,2,,908526,2,,02,62,63,1,1,03,0220,20,1352.5416602
5415232,1,3,1,70,2,12,48,4,,2,12,1,,9,2,1,,,,,,,,,,,1,2,,907000,2,,42,98,98,1,1,03,4210,20,851.23039941
