DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500S1,P7500S1A1,P7500S2,P7500S2A1,P7500S3,P7500S3A1,P7505,P7510S1,P7510S1A1,P7510S2,P7510S2A1,P7510S3,P7510S3A1,P750S1,P750S1A1,P750S2,P750S2A1,P1661S1,P1661S1A1,P1661S2,P1661S2A1,P1661S3,P1661S3A1,P1661S4,P1661S4A1,P1661S4A2,P750S3,P750S3A1,P750S4,P7510S5,P7510S5A1,P7510S6,P7510S6A1,P7510S7,P7510S7A1,CLASE,MES,DPTO,fex_c_2011
5411451,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,594.60025428
5411451,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,594.60025428
5411452,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,425.44708307
5411453,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,279.75071961
5411453,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,279.75071961
5411454,1,1,1,95,2,,,,,,,1,1,1200000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,2,03,66,532.47790981
5411455,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,493.74273362
5411455,1,2,1,95,2,,,,,,,1,2,,2,,1,480000,,,1,480000,,,1,480000,,,,,,,,,2,,2,,2,,2,03,66,493.74273362
5411456,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,543.08528479
5411456,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,543.08528479
5411456,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,543.08528479
5411457,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,474.78963423
5411457,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,474.78963423
5411458,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,653.65273323
5411458,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,653.65273323
5411458,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,653.65273323
5411459,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,648.63447887
5411459,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,648.63447887
5411460,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,723.75593518
5411460,1,2,1,95,2,,,,,,,1,1,1200000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,2,03,66,723.75593518
5411460,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,723.75593518
5411460,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,723.75593518
5411460,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,723.75593518
5411461,1,1,1,95,2,,,,,,,1,2,,2,,1,980000,,,1,980000,1,980000,,,,,,,,,,,2,,2,,2,,2,03,66,380.56060604
5411461,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,380.56060604
5411461,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,380.56060604
5411462,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,583.03514087
5411462,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,583.03514087
5411463,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,474.78963423
5411463,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,474.78963423
5411464,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,818.89506759
5411464,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,818.89506759
5411464,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,818.89506759
5411465,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,721.29588412
